title,genre,author,time,total_chars,total_function_words,total_function_words_frequency,fraction_function_words_at_end,也_count,哉_count,乎_count,兮_count,夫_count,焉_count,耶_count,者_count,矣_count,耳_count,邪_count,也_frequency,哉_frequency,乎_frequency,兮_frequency,夫_frequency,焉_frequency,耶_frequency,者_frequency,矣_frequency,耳_frequency,邪_frequency,也_fraction_at_end,哉_fraction_at_end,乎_fraction_at_end,兮_fraction_at_end,夫_fraction_at_end,焉_fraction_at_end,耶_fraction_at_end,者_fraction_at_end,矣_fraction_at_end,耳_fraction_at_end,邪_fraction_at_end
宋史,史书,脱脱等,元,4795033.0,45634.0,0.006099228097074618,0.6408817986588947,9832.0,872.0,1726.0,196.0,4004.0,1963.0,486.0,21076.0,3732.0,833.0,914.0,0.002015418871986908,0.00016391962265953122,0.0002917602444029061,2.106346296261152e-05,0.0002212706356765428,0.00038665010230377975,8.049996736205987e-05,0.00191573238390643,0.0007674608287367365,0.00013576548899663465,9.968648808047828e-05,0.9829129373474369,0.9013761467889908,0.8105446118192352,0.5153061224489796,0.264985014985015,0.9444727457972492,0.7942386831275721,0.4358512051622699,0.9860664523043944,0.7815126050420168,0.5229759299781181
辽史,史书,脱脱等,元,355417.0,3262.0,0.0038546270999980305,0.41998773758430413,565.0,65.0,75.0,14.0,99.0,121.0,1094.0,952.0,199.0,60.0,18.0,0.0012886271618971518,0.00017725657467144228,0.00016318859255466114,8.44078927006868e-06,6.752631416054944e-05,0.0003151227994158974,7.033991058390566e-05,0.001080421026568791,0.0005402105132843955,0.00012379824262767397,1.9695174963493587e-05,0.8106194690265487,0.9692307692307692,0.7733333333333333,0.21428571428571427,0.24242424242424243,0.9256198347107438,0.022851919561243144,0.40336134453781514,0.964824120603015,0.7333333333333333,0.3888888888888889
金史,史书,脱脱等,元,1117338.0,11872.0,0.006695377763935353,0.6301381401617251,2605.0,239.0,391.0,3.0,891.0,465.0,372.0,5452.0,981.0,358.0,115.0,0.0021613871541109313,0.0001942115993548953,0.0003042946718002968,1.7899686576488045e-06,0.00029265987552557957,0.0004018479636421566,0.00015393730455779718,0.0019582257114677923,0.0008636598773155482,0.00028997492253910633,7.338871496360099e-05,0.927063339731286,0.9079497907949791,0.8695652173913043,0.6666666666666666,0.367003367003367,0.9655913978494624,0.46236559139784944,0.4013206162876009,0.9836901121304791,0.9050279329608939,0.7130434782608696
元史,史书,宋濂、王袆,明,1880607.0,18428.0,0.005729001327762792,0.5846537877143477,3486.0,157.0,478.0,7.0,1957.0,689.0,394.0,9819.0,832.0,440.0,169.0,0.0013990163814130226,7.763450843264967e-05,0.00022067343150376448,2.65871604221403e-06,0.0002584271993032037,0.0003466965719047095,0.00014782461194710005,0.002643827232377631,0.0004370929173399865,0.000142507179862672,5.264257763583779e-05,0.7547332185886403,0.9299363057324841,0.8682008368200836,0.7142857142857143,0.24833929483903935,0.9462989840348331,0.7055837563451777,0.5063652103065486,0.9879807692307693,0.6090909090909091,0.5857988165680473
明史,史书,张廷玉等,清,3315316.0,29312.0,0.005692368389619572,0.6438318777292577,7169.0,477.0,838.0,568.0,1764.0,1334.0,352.0,13476.0,2191.0,784.0,359.0,0.002047165338085419,0.00013935323209009337,0.00021325267334999136,4.2228252148513145e-06,8.596465615947318e-05,0.000386991767903874,0.00010164943552892093,0.0018396436418127262,0.0006491085615971449,0.00018731246131590472,3.770379656117245e-05,0.9467150230157623,0.9685534591194969,0.8436754176610979,0.02464788732394366,0.16156462585034015,0.9617691154422788,0.9573863636363636,0.45258236865538737,0.9821999087174806,0.7920918367346939,0.34818941504178275
论语,哲学,孔子弟子,春秋,22015.0,1352.0,0.039200545082898025,0.6383136094674556,532.0,60.0,158.0,5.0,105.0,88.0,0.0,219.0,181.0,3.0,1.0,0.017896888485123778,0.0019532137179196,0.005223711106064047,0.00013627072450601862,0.0006813536225300931,0.002679990915285033,0.0,0.003452191687485805,0.007131501249148308,4.542357483533954e-05,0.0,0.7406015037593985,0.7166666666666667,0.7278481012658228,0.6,0.14285714285714285,0.6704545454545454,0.0,0.3470319634703196,0.8674033149171271,0.3333333333333333,0.0
孟子,哲学,孟子及弟子,春秋,45608.0,2790.0,0.046132257498684444,0.7541218637992831,1231.0,101.0,208.0,4.0,177.0,140.0,0.0,639.0,252.0,26.0,12.0,0.025850727942466234,0.0020171899666725137,0.0031354148395018417,4.385195579722856e-05,0.00043851955797228557,0.0024776355025434133,0.0,0.0065777933695842835,0.0053060866514646554,0.00026311173478337136,2.192597789861428e-05,0.9577579203899269,0.9108910891089109,0.6875,0.5,0.11299435028248588,0.8071428571428572,0.0,0.4694835680751174,0.9603174603174603,0.46153846153846156,0.08333333333333333
大学章句集注,哲学,曾子,春秋,2421.0,119.0,0.03676166873192895,0.7478991596638656,34.0,2.0,6.0,11.0,1.0,9.0,0.0,45.0,11.0,0.0,0.0,0.013630731102850062,0.0008261049153242462,0.0012391573729863693,0.0012391573729863693,0.0,0.0037174721189591076,0.0,0.011565468814539447,0.004543577034283354,0.0,0.0,0.9705882352941176,1.0,0.5,0.2727272727272727,0.0,1.0,0.0,0.6222222222222222,1.0,0.0,0.0
中庸,哲学,子思,战国,4679.0,304.0,0.039965804659115194,0.6151315789473685,129.0,6.0,55.0,0.0,20.0,27.0,0.0,41.0,26.0,0.0,0.0,0.02201325069459286,0.00021372088053002778,0.0023509296858303056,0.0,0.0017097670442402222,0.005129301132720667,0.0,0.004274417610600555,0.004274417610600555,0.0,0.0,0.7984496124031008,0.16666666666666666,0.2,0.0,0.4,0.8888888888888888,0.0,0.4878048780487805,0.7692307692307693,0.0,0.0
列子,哲学,列御寇,战国,38324.0,1867.0,0.03535643461016595,0.7257632565613283,619.0,75.0,168.0,2.0,88.0,119.0,5.0,542.0,197.0,30.0,22.0,0.01552551925686254,0.001826531677277946,0.0028702640642939152,0.0,0.0002609330967539923,0.002739797515916919,0.00013046654837699614,0.006105834464043419,0.004957728838325853,0.00036530633545558917,0.000574052812858783,0.9612277867528272,0.9333333333333333,0.6547619047619048,0.0,0.11363636363636363,0.8823529411764706,1.0,0.4317343173431734,0.9644670050761421,0.4666666666666667,1.0
